# r Vc err_Vc
# black
8.522993805118777 249.4448799334255 31.659201833076963
9.455423511743339 236.88466625656042 27.1740918951848
10.554985641022581 225.23582645171248 23.588141939280575
11.52192948819996 203.62709499830325 20.18335731609224
12.534307576196428 232.17470518711028 26.766910679788708
13.549293459734033 210.50398523392906 31.0342417758894
14.389554015214266 231.23811362197637 37.82682204149904
15.471130948551698 268.48669681309286 50.92965684192018
16.49298737080315 260.9402899747675 47.95816307702967
17.520227994065007 240.53633939071483 49.51192851299044
18.4962578854613 214.83634957194315 24.11636277226748
19.427724946915514 214.56129994799383 24.021293472468727
21.16275447821888 251.41511599550114 19.762404597681837
23.70854576617349 259.3611913750685 19.769986358236736
26.121966379371393 241.4257966557062 18.84846004871096
28.636719185480537 223.6454044788153 16.325489425744365
31.214813869367106 210.6889236671341 16.949281539701786
33.62450326854898 217.31641557027515 18.644147620263396
36.116859005082375 218.82047037046726 17.853387144382708
38.64374979399571 212.88839258909007 17.977717599284176
41.18663779014788 199.6324468175691 17.09292245936956
43.82250255719521 189.48512364634402 18.172686518809172
46.34665173672342 198.3223662228971 21.64508883725611
48.61978145023463 192.3654557729928 20.34816470975713
51.469237564548685 198.7042928932766 21.247208764990916
56.919130429379216 184.91793878128095 21.25053268783239
62.41967198425794 173.12837518957113 21.79259343008735
69.37143190390843 195.65267716779417 24.613638287684324
79.1930184129301 174.17500925597173 21.79569320776531
98.9564778202696 146.90382432316878 25.119049309934894


# r Vc err_Vc
# cyan
26.24175369216939 188.61661180581547 7.890124961280804
28.141181055178105 233.9460090649019 15.810701556341314
29.45835377631053 209.0017273565069 9.225743337980134
31.96416737103693 178.14331917344765 7.461926305092362
33.912126047203074 169.24480423806284 7.293236648733597
36.42667815818749 175.02858655500205 6.2086174872355
38.335226239802424 189.31801145193597 13.651271159033257
40.29774226779849 196.93498287818574 13.997174393995266
42.30580567027725 191.427149113308 6.815672298993491
44.372567119203744 214.10710580935756 15.288809765239648
45.87814396142989 177.96519948989683 11.93257465602008
47.947329060260856 212.9534352602223 24.400746215041977
49.428896109866905 176.38021525877056 19.301553370814503
51.32605478978645 181.35925143755244 25.185720316063225
53.83247856581557 157.00458187288513 19.461845965446656
56.86440876454392 189.8630311818103 25.72468328065756
58.01667804188659 209.06277309121975 31.159830043091915
60.816433847976306 166.90159897327496 24.03704601567287
64.50040908397261 204.69827685533633 38.76889370248324
69.16838126403646 202.15105035425412 41.304775562224506
72.52969682559487 189.82474301728465 40.21675355362024
76.705913538911 220.2507165736347 70.65868051185606
80.81722767238128 185.45989226135927 65.94143683427782
84.41391593126309 120.23564947185378 38.0424821366214
89.08077949971558 143.41558789172248 30.43341847723005
92.7585651230265 152.10487411879612 69.92730566540754
97.00025081658906 182.8949397581819 71.37693811675408
100.4192365367828 107.88948901253758 41.304421042182554
106.9268066372034 133.96656521484803 55.437007992654316


#r Vc err_Vc
# green
9.614302055605217 199.21922470272435 51.793904947027585
10.256436957499295 141.43555602370802 29.856651803030985
11.143734571644517 133.38843076048954 31.36855461378613
12.154100213278197 192.07074677594932 26.659078817916082
13.120140479605883 224.7245114619016 28.05093731615642
13.99469588686164 240.800903509203 28.268640914817126
15.003088200071124 240.19841048262253 25.59997751474691
16.002330909507087 243.06235166097827 28.884122903095033
16.877503483776678 224.28676694047726 32.434489903975305
17.867824954763698 166.24143095907962 45.18031849097116
18.837805966376372 148.9290771558663 37.122863575473104
19.73534278936619 185.62780450697153 33.387409720626806
20.74859272771307 204.9357003532687 34.361605471672846
21.667204359419664 192.22986312613872 38.364684710136856
22.556197575734174 205.8555821733063 51.54422603135106


#r Vc err_Vc
# pink
8.658233864721824 236.98472141045576 6.435652501832436
9.151847636619555 235.0272378294578 6.209647144742036
9.629493582352605 230.7221750513611 5.434437722350538
10.055483223946641 227.999768362856 5.976191633102474
10.586029276277044 223.823215035904 6.1601402481285845
11.045372974142165 224.6450263734381 7.504446366629594
11.54378078483703 233.2296286843188 7.608775762780624
12.02998395041356 239.75203545184974 6.877099359714009
12.739887079332133 243.04525484056254 8.286233806819439
13.667102101303167 260.25112656240293 16.792637164169946
14.828805945879889 258.3805927522546 32.05622911737777
